# Constructed from biom file
#OTU ID	B.1.2F	B.1.F	B.1.R37.PL	B.1.Sw	B.12.3Sw	B.2.2F	B.2.3Sw	B.2.F	B.2.R39.PL	B.2.Sw	B.3.F	B.3.R42.PL	B.3.Sw	B.4.2F	B.4.3Sw	B.4.F	B.4.R43.PL	B.4.Sw	B.5.2F	B.5.3Sw	B.5.F	B.6.2F	B.6.F	B.6.R47.PL	B.6.Sw	B.8.3Sw	B.9.3Sw	DNAfreewater3	Env1	Env2	Env3	Env4	Extractblankswab1	Extractblanktip1	Extractemptywell4	G.1.2F	G.1.F	G.1.R25.PL	G.1.Sw	G.2.2F	G.2.F	G.2.R28.PL	G.2.Sw	G.3.F	G.38.3Sw	G.4.2F	G.4.F	G.4.R32.PL	G.4.Sw	G.40.3Sw	G.41.3Sw	G.43.3Sw	G.46.3Sw	G.47.3Sw	G.5.2F	G.5.F	G.5.R34.PL	G.5.Sw	G.6.2F	G.6.F	G.6.R35.PL	G.6.Sw	geneblock1	geneblock2	geneblock3	geneblock4	O.1.F	O.14.3Sw	O.15.3Sw	O.17.3Sw	O.2.F	O.20.3Sw	O.21.3Sw	O.24.3Sw	O.3.F	O.4.F	O.5.F	O.6.F	PI.1.F	PI.2.2F	PI.2.F	PI.2.R52.PL	PI.2.Sw	PI.3.2F	PI.3.F	PI.3.R53.PL	PI.3.Sw	PI.4.2F	PI.4.R56.PL	PI.4.Sw	PI.5.2F	PI.5.R57.PL	PI.5.Sw	PI.6.2F	PI.6.R60.PL	PI.6.Sw	PI.67.3Sw	PI.69.3Sw	PI.72.3Sw	PU.1.2F	PU.1.F	PU.1.R61.PL	PU.1.Sw	PU.2.2F	PU.2.F	PU.2.R64.PL	PU.2.Sw	PU.3.F	PU.4.2F	PU.4.R68.PL	PU.4.Sw	PU.5.2F	PU.5.R70.PL	PU.5.Sw	PU.6.2F	PU.6.R71.PL	PU.6.Sw	PU.62.3Sw	PU.63.3Sw	PU.65.3Sw	R.1.F	R.1.R14.PL	R.1.Sw	R.2.2F	R.2.F	R.2.R16.PL	R.2.Sw	R.26.3Sw	R.27.3Sw	R.29.3Sw	R.3.2F	R.3.F	R.3.R17.PL	R.3.Sw	R.31.3Sw	R.33.3Sw	R.35.3Sw	R.4.2F	R.4.F	R.5.2F	R.5.F	R.5.R22.PL	R.5.Sw	R.6.2F	R.6.F	R.6.R24.PL	R.6.Sw	Y.1.2F	Y.1.F	Y.1.R2.PL	Y.1.Sw	Y.2.2F	Y.2.F	Y.2.R3.PL	Y.2.Sw	Y.3.2F	Y.3.F	Y.3.R5.PL	Y.3.Sw	Y.4.F	Y.49.3Sw	Y.5.2F	Y.5.F	Y.5.R10.PL	Y.5.Sw	Y.51.3Sw	Y.54.3Sw	Y.55.3Sw	Y.58.3Sw	Y.59.3Sw	Y.6.2F	Y.6.F	Y.6.R12.PL	Y.6.Sw
acf8ae751ef4288c1201c9cb9de15a16	0.0	0.0	459.0	10913.0	14414.0	0.0	17918.0	0.0	209.0	7588.0	0.0	1859.0	10281.0	0.0	15630.0	0.0	321.0	14413.0	0.0	15215.0	2.0	0.0	0.0	243.0	456.0	12268.0	13982.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	88.0	5417.0	0.0	0.0	56.0	4140.0	3.0	10738.0	4.0	0.0	152.0	10747.0	13503.0	10288.0	11633.0	17075.0	12748.0	0.0	0.0	238.0	8147.0	0.0	0.0	171.0	5323.0	0.0	0.0	0.0	0.0	0.0	10096.0	10774.0	11749.0	0.0	17391.0	14605.0	13587.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	1383.0	0.0	29.0	636.0	0.0	0.0	6.0	0.0	75.0	3874.0	10245.0	15028.0	9800.0	0.0	0.0	50.0	2924.0	0.0	0.0	17.0	545.0	0.0	0.0	3.0	0.0	0.0	99.0	3187.0	0.0	4.0	144.0	8742.0	15838.0	11800.0	0.0	58.0	12820.0	4.0	0.0	250.0	16093.0	17687.0	10154.0	16835.0	0.0	3.0	165.0	9163.0	12484.0	16004.0	16552.0	5.0	0.0	5.0	4.0	69.0	12960.0	0.0	0.0	186.0	9136.0	0.0	0.0	119.0	14127.0	0.0	0.0	477.0	16988.0	0.0	0.0	137.0	7388.0	0.0	18608.0	4.0	0.0	318.0	9109.0	19174.0	17426.0	17427.0	16171.0	9827.0	0.0	0.0	426.0	11566.0
b1fcc6e7637e89017ec6b07ba9af7b13	0.0	0.0	14260.0	2019.0	1276.0	8.0	1701.0	0.0	10431.0	2677.0	0.0	9392.0	438.0	2.0	2076.0	0.0	14259.0	932.0	0.0	2233.0	4.0	7.0	0.0	8043.0	680.0	4938.0	1888.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11175.0	1389.0	0.0	0.0	6231.0	8718.0	0.0	955.0	10.0	0.0	12314.0	1962.0	4447.0	1080.0	1649.0	2089.0	1150.0	0.0	4.0	9625.0	3411.0	0.0	0.0	8987.0	3392.0	0.0	0.0	0.0	0.0	0.0	1832.0	2934.0	1516.0	0.0	513.0	3276.0	358.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8361.0	7465.0	0.0	0.0	10219.0	3311.0	0.0	14123.0	868.0	0.0	9430.0	4200.0	0.0	8687.0	4247.0	659.0	582.0	2657.0	0.0	0.0	11770.0	2348.0	0.0	0.0	9561.0	4171.0	0.0	7.0	11218.0	2760.0	3.0	3600.0	816.0	0.0	10791.0	2750.0	1488.0	1175.0	782.0	0.0	9111.0	348.0	3.0	0.0	9981.0	322.0	748.0	207.0	415.0	0.0	0.0	18126.0	5287.0	1772.0	1676.0	876.0	4.0	0.0	10.0	8.0	12946.0	2851.0	6.0	0.0	16131.0	4947.0	0.0	0.0	6428.0	840.0	0.0	2.0	9657.0	1615.0	0.0	0.0	9211.0	2753.0	0.0	469.0	0.0	0.0	6581.0	7186.0	235.0	456.0	435.0	1548.0	895.0	0.0	0.0	14535.0	2678.0
493937cdc6e6d1c36a6b9bb2cf95aea3	2687.0	1350.0	241.0	13.0	149.0	1902.0	38.0	1401.0	222.0	23.0	9203.0	101.0	0.0	1298.0	607.0	11654.0	121.0	25.0	7420.0	92.0	7240.0	7890.0	6261.0	272.0	5393.0	108.0	303.0	0.0	9.0	44.0	46.0	69.0	0.0	0.0	0.0	12295.0	10455.0	723.0	1641.0	995.0	6628.0	68.0	30.0	11616.0	52.0	7846.0	7452.0	59.0	0.0	74.0	153.0	47.0	256.0	775.0	671.0	10713.0	54.0	106.0	561.0	9469.0	120.0	36.0	0.0	0.0	0.0	0.0	881.0	184.0	174.0	70.0	8035.0	469.0	153.0	24.0	11178.0	4467.0	1852.0	5547.0	14879.0	4484.0	6393.0	367.0	69.0	11167.0	8316.0	227.0	63.0	10977.0	938.0	177.0	5786.0	47.0	1903.0	8890.0	162.0	111.0	227.0	120.0	71.0	3250.0	8768.0	56.0	81.0	595.0	5791.0	127.0	67.0	8302.0	3380.0	173.0	16.0	8909.0	74.0	68.0	6437.0	402.0	50.0	298.0	469.0	390.0	3984.0	99.0	65.0	9040.0	1682.0	427.0	351.0	396.0	972.0	632.0	7870.0	2218.0	100.0	10.0	868.0	45.0	408.0	1591.0	230.0	2845.0	292.0	134.0	0.0	7908.0	11895.0	109.0	14.0	5.0	11391.0	196.0	12.0	633.0	11183.0	156.0	43.0	6252.0	7843.0	229.0	0.0	4922.0	559.0	7153.0	1910.0	52.0	0.0	1694.0	264.0	342.0	84.0	1064.0	2891.0	12292.0	184.0	42.0
b620a7f35cce5b416fd31f307ab69aa8	0.0	0.0	10300.0	1296.0	789.0	0.0	1047.0	0.0	6342.0	1604.0	0.0	5568.0	308.0	0.0	1154.0	0.0	8432.0	571.0	0.0	1315.0	0.0	0.0	0.0	5972.0	443.0	2934.0	1146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8982.0	1552.0	0.0	0.0	3639.0	5485.0	0.0	562.0	0.0	3.0	7571.0	1221.0	2650.0	599.0	932.0	1194.0	647.0	0.0	0.0	5738.0	2143.0	0.0	0.0	5950.0	2099.0	0.0	0.0	0.0	0.0	0.0	1070.0	1742.0	900.0	0.0	329.0	1877.0	225.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5082.0	4639.0	7.0	0.0	6171.0	1974.0	5.0	9022.0	537.0	0.0	5928.0	2730.0	0.0	5077.0	2526.0	392.0	370.0	1562.0	0.0	0.0	7071.0	1408.0	0.0	5.0	5708.0	2599.0	0.0	0.0	6845.0	1661.0	0.0	2113.0	518.0	0.0	6087.0	1641.0	892.0	678.0	471.0	0.0	5291.0	258.0	0.0	0.0	6077.0	218.0	459.0	120.0	231.0	0.0	0.0	11152.0	3255.0	1005.0	1008.0	476.0	0.0	0.0	8.0	0.0	7792.0	1738.0	0.0	0.0	9399.0	2994.0	0.0	0.0	3949.0	525.0	0.0	0.0	5694.0	996.0	8.0	0.0	5616.0	1695.0	0.0	271.0	10.0	0.0	3758.0	4287.0	131.0	259.0	252.0	926.0	560.0	0.0	0.0	8386.0	1569.0
36d48af88bf8d0e4c078f15cb090b1bd	0.0	0.0	18.0	1648.0	2448.0	0.0	1500.0	0.0	11.0	3980.0	0.0	22.0	7982.0	4.0	1500.0	0.0	8.0	530.0	0.0	1149.0	0.0	0.0	0.0	7.0	3506.0	1352.0	1904.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8264.0	0.0	0.0	11.0	2075.0	0.0	2835.0	0.0	0.0	4.0	698.0	2747.0	2833.0	4963.0	3554.0	4653.0	0.0	0.0	52.0	3983.0	0.0	0.0	18.0	6863.0	0.0	0.0	0.0	0.0	0.0	6147.0	2587.0	1499.0	0.0	1937.0	1874.0	5546.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3109.0	0.0	0.0	5.0	2295.0	0.0	3.0	6674.0	0.0	17.0	2081.0	0.0	0.0	8114.0	1467.0	7762.0	5823.0	0.0	0.0	5.0	3610.0	0.0	0.0	2.0	4592.0	0.0	0.0	28.0	1985.0	0.0	6.0	2688.0	0.0	27.0	7480.0	2202.0	2458.0	1843.0	0.0	0.0	2864.0	0.0	0.0	0.0	3155.0	2810.0	4238.0	3782.0	0.0	0.0	10.0	1164.0	6197.0	2831.0	1983.0	0.0	0.0	0.0	0.0	4.0	4030.0	0.0	0.0	5.0	493.0	0.0	0.0	4.0	963.0	0.0	0.0	14.0	5098.0	0.0	0.0	11.0	3133.0	0.0	78.0	0.0	0.0	10.0	4494.0	271.0	101.0	186.0	162.0	572.0	0.0	0.0	18.0	5053.0
69ab7c12eb42f7443136cfd1509646ad	0.0	0.0	1336.0	3651.0	2539.0	0.0	1819.0	0.0	2260.0	2980.0	0.0	1419.0	4672.0	0.0	2613.0	0.0	869.0	1068.0	0.0	2859.0	0.0	0.0	0.0	1458.0	369.0	3013.0	2359.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2408.0	2976.0	0.0	0.0	1423.0	509.0	0.0	4009.0	0.0	0.0	2853.0	1952.0	2067.0	1668.0	1256.0	2054.0	917.0	0.0	0.0	3988.0	3734.0	0.0	0.0	798.0	1269.0	0.0	0.0	0.0	0.0	0.0	1804.0	4495.0	1817.0	0.0	1884.0	1419.0	2370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1756.0	4611.0	0.0	0.0	916.0	3108.0	0.0	190.0	3091.0	2.0	3668.0	2644.0	0.0	2211.0	3320.0	816.0	1494.0	2678.0	0.0	0.0	421.0	2594.0	0.0	0.0	1084.0	1481.0	0.0	0.0	3675.0	3433.0	0.0	3054.0	4563.0	0.0	532.0	4046.0	2526.0	1940.0	5435.0	0.0	310.0	2578.0	0.0	0.0	313.0	1955.0	816.0	1899.0	2747.0	0.0	0.0	214.0	2743.0	3078.0	1769.0	2625.0	0.0	0.0	0.0	0.0	226.0	2382.0	4.0	0.0	637.0	1391.0	0.0	0.0	1733.0	1116.0	0.0	0.0	2257.0	3545.0	0.0	0.0	317.0	1904.0	0.0	1127.0	0.0	0.0	1221.0	2221.0	60.0	1824.0	2335.0	491.0	602.0	0.0	0.0	338.0	4752.0
1640c919257f3c20b3185d975af25cdf	1348.0	628.0	109.0	0.0	136.0	781.0	0.0	605.0	116.0	0.0	4041.0	49.0	0.0	493.0	294.0	5180.0	81.0	0.0	3178.0	60.0	3760.0	3999.0	2844.0	130.0	2943.0	72.0	127.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	6578.0	4390.0	398.0	980.0	449.0	2869.0	65.0	0.0	5112.0	33.0	3625.0	3067.0	52.0	0.0	71.0	92.0	0.0	138.0	370.0	294.0	5421.0	0.0	61.0	246.0	5025.0	81.0	38.0	0.0	0.0	0.0	0.0	517.0	142.0	142.0	0.0	3504.0	271.0	137.0	0.0	4477.0	2075.0	878.0	2654.0	6600.0	2258.0	2939.0	194.0	0.0	5351.0	3724.0	119.0	0.0	4538.0	435.0	113.0	2269.0	0.0	976.0	3974.0	110.0	80.0	129.0	91.0	0.0	1382.0	3561.0	46.0	65.0	183.0	2422.0	68.0	38.0	2861.0	1269.0	70.0	0.0	4036.0	32.0	0.0	1942.0	140.0	0.0	115.0	226.0	156.0	1823.0	68.0	0.0	3416.0	758.0	143.0	131.0	171.0	498.0	273.0	2653.0	942.0	0.0	0.0	410.0	0.0	171.0	714.0	180.0	1399.0	153.0	52.0	41.0	3155.0	5019.0	78.0	0.0	0.0	5667.0	108.0	0.0	212.0	4917.0	65.0	0.0	3268.0	3347.0	111.0	19.0	2106.0	308.0	2824.0	962.0	0.0	0.0	739.0	101.0	187.0	59.0	537.0	1231.0	5256.0	84.0	0.0
44159b71813afd41e2b2aa1c4349825d	0.0	0.0	17.0	0.0	8.0	0.0	0.0	224.0	0.0	3.0	10520.0	14.0	0.0	4154.0	27.0	7363.0	12.0	0.0	3414.0	6.0	1601.0	3664.0	2619.0	54.0	1474.0	8.0	13.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	4110.0	3839.0	110.0	390.0	1300.0	6107.0	0.0	0.0	1122.0	5.0	0.0	2200.0	0.0	0.0	12.0	0.0	0.0	11.0	26.0	4928.0	3321.0	5.0	16.0	2966.0	128.0	38.0	14.0	0.0	0.0	0.0	0.0	1243.0	0.0	10.0	0.0	5282.0	33.0	0.0	0.0	4050.0	3920.0	139.0	121.0	4651.0	1133.0	0.0	46.0	0.0	9871.0	4601.0	85.0	0.0	2777.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	5.0	0.0	0.0	0.0	13.0	0.0	0.0	6405.0	0.0	0.0	5795.0	6833.0	0.0	0.0	4785.0	18.0	0.0	7751.0	87.0	0.0	0.0	85.0	29.0	4034.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	86.0	6154.0	10716.0	12.0	0.0	16.0	0.0	0.0	3887.0	0.0	0.0	0.0	0.0	0.0	4192.0	5104.0	0.0	0.0	33.0	1513.0	0.0	0.0	0.0	1627.0	0.0	0.0	4491.0	3347.0	41.0	4.0	0.0	0.0	0.0	15.0	7.0	0.0	91.0	14.0	0.0	0.0	19.0	1878.0	585.0	18.0	0.0
4f641bb49ecd54659213577e57de8ca9	0.0	0.0	603.0	1517.0	1187.0	0.0	4835.0	0.0	718.0	1404.0	0.0	1774.0	1627.0	3.0	3103.0	0.0	530.0	2205.0	0.0	1673.0	0.0	0.0	0.0	1012.0	47.0	1595.0	1564.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	714.0	0.0	0.0	488.0	481.0	0.0	2079.0	13.0	0.0	682.0	3163.0	5683.0	1884.0	2668.0	3625.0	1317.0	0.0	0.0	381.0	285.0	0.0	0.0	630.0	1556.0	0.0	0.0	0.0	0.0	0.0	3976.0	1745.0	6308.0	0.0	3438.0	2044.0	1606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	1416.0	0.0	0.0	1036.0	3041.0	0.0	111.0	1808.0	0.0	1103.0	2897.0	0.0	394.0	948.0	1655.0	649.0	1826.0	0.0	0.0	352.0	2811.0	3.0	0.0	629.0	1393.0	0.0	6.0	2003.0	6545.0	0.0	1662.0	2949.0	0.0	796.0	1803.0	2192.0	1959.0	945.0	0.0	257.0	888.0	0.0	0.0	448.0	1526.0	1540.0	711.0	2699.0	0.0	2.0	596.0	2768.0	2979.0	3419.0	2018.0	0.0	0.0	3.0	0.0	146.0	1248.0	0.0	0.0	689.0	1455.0	0.0	0.0	241.0	3639.0	0.0	3.0	368.0	1279.0	0.0	0.0	116.0	970.0	0.0	6919.0	0.0	0.0	244.0	351.0	3050.0	5693.0	5558.0	2699.0	8094.0	0.0	0.0	293.0	1451.0
7ecc7f4aaf6d74acc9a49d4cbbe28564	0.0	0.0	267.0	1997.0	3528.0	4.0	2282.0	0.0	1004.0	6723.0	0.0	1535.0	1985.0	2.0	923.0	0.0	926.0	10346.0	0.0	1554.0	0.0	4.0	0.0	554.0	204.0	1123.0	2630.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	630.0	1623.0	0.0	0.0	441.0	2093.0	0.0	1183.0	5.0	0.0	474.0	3987.0	1587.0	1796.0	3463.0	3572.0	2377.0	0.0	0.0	748.0	2105.0	11.0	2.0	327.0	1996.0	0.0	0.0	0.0	0.0	0.0	1239.0	2101.0	2343.0	0.0	3125.0	2301.0	1230.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	113.0	477.0	5.0	0.0	1669.0	2875.0	0.0	394.0	3023.0	0.0	279.0	239.0	0.0	907.0	1850.0	2874.0	2006.0	3141.0	0.0	0.0	350.0	2093.0	0.0	0.0	877.0	1443.0	0.0	0.0	846.0	834.0	0.0	842.0	1974.0	0.0	855.0	4643.0	1268.0	2359.0	2747.0	0.0	140.0	4198.0	0.0	0.0	368.0	3261.0	1745.0	3444.0	1307.0	0.0	8.0	118.0	1434.0	2529.0	1784.0	1363.0	4.0	0.0	3.0	0.0	96.0	4396.0	5.0	0.0	692.0	2839.0	0.0	0.0	135.0	7049.0	0.0	0.0	353.0	3270.0	0.0	0.0	787.0	3218.0	0.0	14.0	0.0	0.0	556.0	1428.0	0.0	0.0	38.0	276.0	6005.0	2.0	0.0	820.0	1438.0
